iter	Passed	Remaining
401	14817	22042
402	14847	21995
403	14889	21965
404	14920	21920
405	14953	21877
406	14988	21838
407	15027	21804
408	15061	21764
409	15095	21723
410	15132	21685
411	15167	21647
412	15201	21606
413	15240	21572
414	15275	21532
415	15318	21504
416	15355	21468
417	15386	21423
418	15424	21387
419	15463	21353
420	15495	21311
421	15536	21279
422	15573	21242
423	15607	21202
424	15646	21168
425	15680	21127
426	15716	21090
427	15761	21064
428	15802	21032
429	15835	20990
430	15871	20953
431	15911	20920
432	15940	20873
433	15976	20835
434	16016	20802
435	16048	20760
436	16085	20724
437	16123	20687
438	16164	20656
439	16206	20626
440	16236	20580
441	16268	20538
442	16305	20501
443	16341	20463
444	16378	20427
445	16411	20385
446	16443	20343
447	16481	20307
448	16518	20270
449	16555	20234
450	16587	20192
451	16620	20150
452	16655	20111
453	16689	20070
454	16715	20022
455	16749	19981
456	16780	19938
457	16822	19908
458	16855	19866
459	16887	19824
460	16921	19784
461	16961	19751
462	16997	19714
463	17035	19679
464	17084	19656
465	17118	19615
466	17153	19577
467	17189	19540
468	17228	19505
469	17262	19466
470	17300	19430
471	17334	19391
472	17368	19350
473	17402	19312
474	17439	19275
475	17474	19236
476	17507	19195
477	17539	19153
478	17578	19119
479	17615	19083
480	17651	19046
481	17693	19014
482	17732	18981
483	17769	18944
484	17804	18905
485	17841	18869
486	17878	18833
487	17914	18795
488	17949	18756
489	17989	18723
490	18025	18686
491	18056	18643
492	18093	18606
493	18127	18567
494	18159	18526
495	18201	18495
496	18248	18468
497	18281	18428
498	18315	18389
499	18351	18351
500	18384	18310
501	18417	18271
502	18449	18229
503	18486	18192
504	18525	18158
505	18563	18123
506	18597	18084
507	18630	18043
508	18668	18008
509	18704	17970
510	18734	17927
511	18771	17891
512	18813	17860
513	18853	17826
514	18888	17787
515	18926	17753
516	18961	17714
517	18991	17672
518	19028	17635
519	19064	17597
520	19100	17561
521	19138	17525
522	19172	17486
523	19208	17448
524	19242	17409
525	19272	17366
526	19305	17327
527	19337	17286
528	19372	17248
529	19406	17209
530	19438	17168
531	19471	17129
532	19504	17089
533	19542	17054
534	19574	17013
535	19611	16977
536	19638	16932
537	19676	16896
538	19709	16857
539	19747	16821
540	19785	16786
541	19826	16753
542	19895	16744
543	19940	16714
544	19974	16675
545	20003	16633
546	20039	16595
547	20075	16558
548	20112	16522
549	20140	16478
550	20169	16435
551	20200	16394
552	20245	16364
553	20286	16331
554	20324	16296
555	20362	16260
556	20394	16220
557	20430	16183
558	20470	16149
559	20503	16110
560	20540	16073
561	20573	16034
562	20614	16000
563	20647	15961
564	20685	15925
565	20721	15888
566	20755	15850
567	20790	15812
568	20830	15778
569	20866	15741
570	20896	15699
571	20931	15661
572	20968	15625
573	21002	15587
574	21037	15549
575	21073	15512
576	21112	15477
577	21141	15435
578	21176	15397
579	21211	15360
580	21247	15323
581	21282	15285
582	21318	15248
583	21354	15211
584	21388	15173
585	21426	15137
586	21462	15100
587	21501	15065
588	21534	15026
589	21575	14993
590	21613	14957
591	21644	14916
592	21680	14880
593	21714	14842
594	21747	14803
595	21780	14763
596	21812	14724
597	21848	14687
598	21886	14651
599	21924	14616
600	21957	14577
601	21996	14542
602	22034	14506
603	22074	14472
604	22105	14432
605	22139	14394
606	22174	14356
607	22206	14317
608	22240	14279
609	22287	14249
610	22319	14210
611	22352	14171
612	22398	14140
613	22437	14105
614	22468	14065
615	22502	14027
616	22540	13991
617	22572	13952
618	22609	13916
619	22643	13878
620	22673	13837
621	22710	13801
622	22749	13766
623	22784	13729
624	22816	13690
625	22850	13651
626	22885	13614
627	22921	13577
628	22953	13538
629	22986	13500
630	23022	13463
631	23060	13427
632	23094	13389
633	23133	13354
634	23175	13321
635	23216	13287
636	23258	13254
637	23307	13224
638	23350	13191
639	23391	13157
640	23422	13118
641	23459	13082
642	23496	13045
643	23537	13011
644	23575	12975
645	23610	12938
646	23649	12902
647	23691	12869
648	23731	12834
649	23766	12797
650	23798	12758
651	23830	12719
652	23860	12679
653	23892	12640
654	23930	12604
655	23963	12566
656	23993	12526
657	24029	12489
658	24065	12452
659	24102	12416
660	24135	12378
661	24170	12340
662	24204	12302
663	24237	12264
664	24275	12229
665	24318	12195
666	24353	12158
667	24391	12122
668	24422	12083
669	24454	12044
670	24493	12009
671	24531	11973
672	24558	11932
673	24593	11895
674	24623	11855
675	24663	11820
676	24696	11782
677	24735	11747
678	24768	11709
679	24800	11670
680	24838	11634
681	24877	11599
682	24912	11562
683	24947	11525
684	24980	11487
685	25014	11449
686	25050	11413
687	25084	11375
688	25118	11337
689	25151	11299
690	25184	11261
691	25213	11222
692	25248	11185
693	25278	11145
694	25315	11109
695	25349	11072
696	25384	11035
697	25417	10997
698	25446	10957
699	25478	10919
700	25517	10884
701	25553	10847
702	25588	10810
703	25625	10774
704	25659	10737
705	25694	10700
706	25730	10663
707	25774	10630
708	25811	10593
709	25849	10558
710	25885	10521
711	25915	10482
712	25950	10445
713	25983	10408
714	26018	10370
715	26055	10334
716	26090	10298
717	26121	10259
718	26157	10222
719	26191	10185
720	26230	10150
721	26264	10112
722	26296	10074
723	26348	10044
724	26381	10006
725	26413	9968
726	26442	9929
727	26480	9893
728	26508	9854
729	26540	9816
730	26573	9778
731	26608	9741
732	26643	9705
733	26686	9671
734	26723	9634
735	26756	9597
736	26789	9559
737	26824	9522
738	26860	9486
739	26896	9450
740	26927	9411
741	26956	9373
742	26993	9336
743	27024	9298
744	27068	9265
745	27101	9227
746	27142	9192
747	27181	9157
748	27221	9122
749	27255	9085
750	27292	9048
751	27331	9013
752	27367	8977
753	27408	8942
754	27450	8907
755	27487	8871
756	27521	8834
757	27559	8798
758	27593	8761
759	27633	8726
760	27674	8691
761	27708	8654
762	27744	8617
763	27774	8579
764	27810	8543
765	27852	8508
766	27892	8473
767	27931	8437
768	27969	8401
769	28007	8365
770	28042	8329
771	28081	8293
772	28124	8258
773	28162	8223
774	28206	8188
775	28238	8151
776	28274	8114
777	28305	8076
778	28352	8043
779	28392	8008
780	28425	7970
781	28463	7934
782	28497	7897
783	28533	7861
784	28565	7823
785	28600	7786
786	28641	7751
787	28674	7714
788	28708	7677
789	28749	7642
790	28782	7604
791	28809	7566
792	28842	7528
793	28874	7491
794	28913	7455
795	28954	7420
796	28988	7383
797	29021	7346
798	29059	7310
799	29095	7273
800	29130	7237
801	29166	7200
802	29207	7165
803	29241	7128
804	29285	7093
805	29320	7057
806	29353	7020
807	29394	6984
808	29433	6949
809	29462	6911
810	29501	6875
811	29535	6838
812	29572	6801
813	29604	6764
814	29639	6728
815	29671	6690
816	29703	6653
817	29737	6616
818	29771	6579
819	29806	6542
820	29843	6506
821	29884	6471
822	29921	6435
823	29962	6399
824	29996	6362
825	30033	6326
826	30068	6290
827	30096	6251
828	30135	6216
829	30169	6179
830	30201	6142
831	30239	6106
832	30276	6069
833	30307	6032
834	30342	5995
835	30385	5960
836	30416	5923
837	30449	5886
838	30489	5850
839	30523	5813
840	30553	5776
841	30595	5741
842	30636	5705
843	30670	5668
844	30709	5633
845	30744	5596
846	30777	5559
847	30815	5523
848	30844	5485
849	30876	5448
850	30909	5411
851	30943	5375
852	30977	5338
853	31008	5301
854	31043	5264
855	31074	5227
856	31105	5190
857	31134	5152
858	31170	5116
859	31207	5080
860	31243	5044
861	31280	5007
862	31316	4971
863	31350	4934
864	31383	4897
865	31418	4861
866	31454	4825
867	31490	4788
868	31524	4752
869	31562	4716
870	31597	4679
871	31633	4643
872	31668	4607
873	31699	4569
874	31735	4533
875	31769	4496
876	31802	4460
877	31836	4423
878	31877	4388
879	31920	4352
880	31954	4316
881	31991	4280
882	32028	4243
883	32063	4207
884	32101	4171
885	32137	4135
886	32169	4098
887	32210	4062
888	32246	4026
889	32282	3990
890	32323	3954
891	32363	3918
892	32412	3883
893	32445	3847
894	32481	3810
895	32516	3774
896	32553	3737
897	32591	3701
898	32628	3665
899	32662	3629
900	32694	3592
901	32728	3555
902	32764	3519
903	32797	3482
904	32833	3446
905	32865	3409
906	32898	3373
907	32932	3336
908	32976	3301
909	33006	3264
910	33044	3228
911	33075	3191
912	33112	3155
913	33143	3118
914	33179	3082
915	33215	3045
916	33250	3009
917	33287	2973
918	33324	2937
919	33360	2900
920	33406	2865
921	33438	2828
922	33471	2792
923	33512	2756
924	33550	2720
925	33594	2684
926	33639	2649
927	33682	2613
928	33722	2577
929	33759	2541
930	33799	2505
931	33837	2468
932	33874	2432
933	33910	2396
934	33947	2359
935	33989	2324
936	34029	2288
937	34070	2252
938	34109	2215
939	34144	2179
940	34181	2143
941	34216	2106
942	34252	2070
943	34286	2033
944	34325	1997
945	34365	1961
946	34402	1925
947	34444	1889
948	34480	1853
949	34514	1816
950	34549	1780
951	34582	1743
952	34612	1707
953	34649	1670
954	34687	1634
955	34724	1598
956	34759	1561
957	34797	1525
958	34832	1489
959	34866	1452
960	34902	1416
961	34936	1380
962	34975	1343
963	35012	1307
964	35043	1271
965	35075	1234
966	35117	1198
967	35152	1162
968	35187	1125
969	35227	1089
970	35263	1053
971	35301	1016
972	35334	980
973	35373	944
