iter	MultiClass
129	0.1122797082
130	0.1121644721
131	0.1120724055
132	0.1119282311
133	0.1118086247
134	0.1117041356
135	0.1115156442
136	0.1114052186
137	0.1112112104
138	0.1110849929
139	0.1109617299
140	0.1108967543
141	0.1108289321
142	0.1107129273
143	0.1105416664
144	0.1104242828
145	0.1103213876
146	0.1102411139
147	0.1100924454
148	0.109874111
149	0.1098272102
150	0.1097593943
151	0.1096412846
152	0.1095738976
153	0.1095229365
154	0.1093984106
155	0.1093346682
156	0.1091852218
157	0.1090884736
158	0.1089257589
159	0.1087101028
160	0.1085925932
161	0.1084728529
162	0.1083291765
163	0.1081155786
164	0.1079156001
165	0.1078556254
166	0.1077924175
167	0.1076892071
168	0.1075748921
169	0.1075219444
170	0.1074518116
171	0.1073904317
172	0.1072524713
173	0.107192593
174	0.1071104402
175	0.1070523667
176	0.1069867292
177	0.1069028532
178	0.1068226415
179	0.1066884449
180	0.1065640224
181	0.106493209
182	0.1064143631
183	0.1063231479
184	0.1061815929
185	0.1060992344
186	0.1060249628
187	0.1059856089
188	0.1058726846
189	0.1058334338
190	0.1057447381
191	0.1055858454
192	0.1055396429
193	0.1054917385
194	0.1053589415
195	0.1052682153
196	0.1051956777
197	0.1050592602
198	0.1050046794
199	0.1049799261
200	0.1049112356
201	0.1048423511
202	0.1047918075
203	0.1047611767
204	0.104706181
205	0.104669482
206	0.1045804408
207	0.104544888
208	0.1044545925
209	0.1043753463
210	0.1042368281
211	0.1041766118
212	0.1041414518
213	0.1040943511
214	0.1039897038
215	0.1039527263
216	0.1038913099
217	0.1038324394
218	0.1037715455
219	0.1037045439
220	0.103625731
221	0.1035276979
222	0.1034997755
223	0.1034489563
224	0.1034023571
225	0.1033455427
226	0.1033094406
227	0.103236872
228	0.103179767
229	0.1031380795
230	0.1030689372
231	0.1030159805
232	0.1029889224
233	0.1028762662
234	0.1028160671
235	0.1027060088
236	0.1026249257
237	0.102593147
238	0.1025723392
239	0.1025001833
240	0.1024610779
241	0.1023729231
242	0.1023259579
243	0.1023024864
244	0.1022182737
245	0.1021886487
246	0.102156844
247	0.1021323569
248	0.1020932675
249	0.1020502552
250	0.1020157252
251	0.1019826146
252	0.1019575085
253	0.10191165
254	0.1018806718
255	0.1018529946
256	0.1018022082
257	0.1017708154
258	0.101728314
259	0.1017107786
260	0.1016330832
261	0.1015519355
262	0.1015016596
263	0.1014734442
264	0.1014357036
265	0.1013903498
266	0.1013702379
267	0.1012432023
268	0.1012101211
269	0.1011634472
270	0.1010614907
271	0.1010336355
272	0.1010153366
273	0.101002934
274	0.1009637108
275	0.1009376347
276	0.100889123
277	0.1008704031
278	0.1008310563
279	0.1007648123
280	0.1007236414
281	0.1006758506
282	0.1006623537
283	0.1005779713
284	0.1005360402
285	0.1005069422
286	0.100459122
287	0.1004259545
288	0.1003793701
289	0.100335795
290	0.1002514942
291	0.1002096743
292	0.1001768913
293	0.1001398077
294	0.1001061547
295	0.1000167241
296	0.09999968746
297	0.0999593216
298	0.09991220625
299	0.09987122234
300	0.09983444882
301	0.09981149371
302	0.09975346321
303	0.09972272802
304	0.09970767512
305	0.09969192336
306	0.09964967689
307	0.09961329816
308	0.0995962411
309	0.09955252868
310	0.09952132197
311	0.09949755355
312	0.09943241382
313	0.09940469362
314	0.09937576835
315	0.0993411756
316	0.09929769605
317	0.09923331662
318	0.09917594869
319	0.09914799108
320	0.09906088331
321	0.0990496558
322	0.09896857458
323	0.09892326376
324	0.09890859974
325	0.09889064491
326	0.09886905426
327	0.09885226281
328	0.09880528882
329	0.09877069996
330	0.09873735647
331	0.09872244604
332	0.09870010689
333	0.09869053819
334	0.09862914172
335	0.09858253659
336	0.09856903724
337	0.09854738597
338	0.09853029999
339	0.09850986949
340	0.09847974562
341	0.09843631921
342	0.09835740251
343	0.09833214448
344	0.09828413911
345	0.09824669831
346	0.09822645148
347	0.09819029206
348	0.09817377453
349	0.09813256076
350	0.09812074102
351	0.09810106535
352	0.0980763076
353	0.09805282
354	0.098017597
355	0.09798532546
356	0.09797157898
357	0.097914883
358	0.09790554876
359	0.09788453471
360	0.09786439871
361	0.09784862684
362	0.0978214879
363	0.09780485774
364	0.09776627128
365	0.0977517886
366	0.09772149881
367	0.09765381039
368	0.09763016828
369	0.09760109037
370	0.09756592881
371	0.09755018946
372	0.09753147251
373	0.09750364764
374	0.09748824548
375	0.09747348621
376	0.09745172526
377	0.09743781469
378	0.09740648554
379	0.09738492244
380	0.09734145278
381	0.09730458348
382	0.09722522251
383	0.09718915473
384	0.09714820395
385	0.09712835517
386	0.09706269542
387	0.09705571493
388	0.0970451719
389	0.09698081228
390	0.09692975326
391	0.09692255414
392	0.09690973453
393	0.09687882371
394	0.09686229684
395	0.09683881231
396	0.09679319572
397	0.09676812977
398	0.09675437767
399	0.09672311935
400	0.09670536825
401	0.09669412646
402	0.09668192334
403	0.0966086926
404	0.0965951313
405	0.09658738137
406	0.0965728566
407	0.0965480002
408	0.09651492158
409	0.0964970518
410	0.09648148941
411	0.0964646902
412	0.09643081406
413	0.0963630768
414	0.0963535282
415	0.0963184502
416	0.09629293516
417	0.09624660435
418	0.09623035414
419	0.09621094401
420	0.09618038003
421	0.09614976891
422	0.096091233
423	0.09607989998
424	0.09606882825
425	0.09604116981
426	0.09603051982
427	0.09600286012
428	0.0959707272
429	0.09595879348
430	0.09593925282
431	0.09591998024
432	0.09591080084
433	0.09589690799
434	0.09587036891
435	0.09585240694
436	0.09582898503
437	0.09581070215
438	0.09577452216
439	0.09574166397
440	0.09572299376
441	0.09570942982
442	0.09569077508
443	0.095677961
444	0.09564442386
445	0.09562948934
446	0.09559658318
447	0.09556966831
448	0.09555130572
449	0.09552882994
450	0.09549252258
451	0.09546854216
452	0.0954598485
453	0.09544530191
454	0.09543367372
455	0.09542501874
456	0.09541398677
457	0.09537855891
458	0.09536421072
459	0.09534843041
460	0.09532506291
461	0.09529729462
462	0.09527649988
463	0.09525963481
464	0.09524746548
465	0.09523897351
466	0.09522297269
467	0.09521512774
468	0.09519153385
469	0.09516776207
470	0.09510823444
471	0.09509866847
472	0.09508041745
473	0.09505571046
474	0.09503426287
475	0.09501909421
476	0.09499459533
477	0.09497906566
478	0.09495648352
479	0.09492581854
480	0.09491268259
481	0.09483254765
482	0.09479450258
483	0.09473328846
484	0.09472042523
485	0.09470376101
486	0.09469290087
487	0.09467120149
488	0.09465020304
489	0.09462828074
490	0.09461330355
491	0.09460167427
492	0.0945867775
493	0.09458084211
494	0.09456571044
495	0.09454763622
496	0.09448160139
497	0.09446815241
498	0.09443958029
499	0.09442361001
500	0.09440393425
501	0.09438929797
502	0.09438096932
503	0.09436266882
504	0.09434797769
505	0.0943375376
506	0.09432218202
507	0.09431293597
508	0.0942713515
509	0.09425361675
510	0.09424109615
511	0.09422702251
512	0.09419135939
513	0.09415931737
514	0.09414667187
515	0.09412363212
516	0.09410651413
517	0.09409567256
518	0.09406711564
519	0.09405653649
520	0.09401753787
521	0.09400177138
522	0.09398409717
523	0.09397029542
524	0.09395455765
525	0.09394734296
526	0.09393707953
527	0.09392396994
528	0.09391215393
529	0.09389961993
530	0.0938912071
531	0.0938694725
532	0.09386041081
533	0.0938440117
534	0.09383743995
535	0.09382293113
536	0.09381324855
537	0.09379383712
538	0.09378303744
539	0.0937611385
540	0.09374893909
541	0.09372570896
542	0.09371852589
543	0.09368002599
544	0.09366648682
545	0.09365153953
546	0.0936374347
547	0.09360818977
548	0.09359459108
549	0.09359131257
550	0.09357924226
551	0.09356480936
552	0.0935551466
553	0.09354444292
554	0.09352498361
555	0.09351113857
556	0.09348644688
557	0.09347262745
558	0.09345578108
559	0.09344910446
560	0.09342475481
561	0.09340412173
562	0.09338551296
563	0.09335707518
564	0.09334082114
565	0.09332648637
566	0.09331538489
567	0.09329976112
568	0.093257441
569	0.0932492549
570	0.09323224502
571	0.09321770378
572	0.0932038952
573	0.09318530345
574	0.0931650343
575	0.0931491376
576	0.09310194012
577	0.09309395168
578	0.09308385302
579	0.09307324902
580	0.09305447376
581	0.09304803606
582	0.09303734259
583	0.09302412877
584	0.09301246385
585	0.09298679253
586	0.0929718381
587	0.09295371561
588	0.09294842326
589	0.09292866221
590	0.09286578939
591	0.09285200144
592	0.09284229766
593	0.09282331293
594	0.09280332765
595	0.09279048688
596	0.09277624828
597	0.09276103889
598	0.09274110245
599	0.09273219833
600	0.09272205166
601	0.09269706695
602	0.09268868831
603	0.09267232001
604	0.09266393879
605	0.09264700859
606	0.09263556742
607	0.09262716609
608	0.09260820426
609	0.09260200924
610	0.09259017938
611	0.09257349498
612	0.09256133719
613	0.09254069775
614	0.09252828104
615	0.09250935196
616	0.09247472914
617	0.09246276878
618	0.09245032896
619	0.09243935682
620	0.09242166566
621	0.09240160343
622	0.09236635245
623	0.09235704324
624	0.09234807948
625	0.09234167264
626	0.09232885384
627	0.0923110516
628	0.09229774656
629	0.092289613
630	0.09228158462
631	0.0922643373
632	0.09224878362
